id,title,artist,year,medium,era,political_context,institution,subject_matter,gender_of_artist,race_ethnicity_of_artist,political_impact_rating,historical_event_depicted_or_influenced,themes,significance,source_used,notes
41,Hope (Obama campaign poster),Shepard Fairey,2008,Stencil/screen print,Contemporary (1970s–present),2008 presidential election,Various collections / Smithsonian,Barack Obama in red/blue/beige; word HOPE below,Male,White,5/5,2008 presidential election; Barack Obama campaign,"Electoral politics; visual identity; grassroots art; image as campaign tool","Became the defining image of the 2008 Obama campaign and one of the most reproduced political artworks in American history; later entangled in copyright controversy over the AP source photograph","Smithsonian / various","Fairey settled with the AP over the source photograph; the case became landmark in copyright and political art"
42,Portrait of Barack Obama,Kehinde Wiley,2018,Oil on canvas,Contemporary (1970s–present),First Black president; official portraiture,National Portrait Gallery,Obama seated amid flowering plants,Male,Black/African American,5/5,Obama presidency; representation in American institutions,"Black representation; presidential canon; art historical revisionism","First presidential portrait by a Black artist in the National Portrait Gallery; transformed a 200-year tradition of white male official portraiture; the floral background references power and non-Western aesthetic traditions","National Portrait Gallery catalog",""
43,Portrait of Michelle Obama,Amy Sherald,2018,Oil on canvas,Contemporary (1970s–present),First Black First Lady; official portraiture,National Portrait Gallery,Michelle Obama in billowing pale blue dress,Female,Black/African American,5/5,Obama presidency; representation in American institutions,"Black womanhood; dignity; portraiture history; grisaille skin","First Black woman to paint an official White House portrait; Sherald's use of grisaille (gray) skin tones makes Blackness a category rather than a color — a deliberate philosophical statement","National Portrait Gallery catalog",""
44,Untitled (I Can't Breathe),Kara Walker / community murals (multiple artists),2014-2020,Various (mural; print; installation),Contemporary (1970s–present),Black Lives Matter; police violence,Various,Text; George Floyd; Eric Garner; protest imagery,Multiple,Multiple (predominantly Black artists),5/5,Deaths of Eric Garner (2014) and George Floyd (2020); BLM movement,"Police violence; racial justice; mourning; protest art","The phrase 'I Can't Breathe' became a visual and political refrain across murals, prints, and protest signs nationally; BLM visual culture constitutes one of the largest grassroots art movements in American history","Various","Umbrella entry for BLM visual culture; specific works could be disaggregated"
45,George Floyd Memorial Mural (Minneapolis),Xena Goldman / Cadex Herrera / Greta McLain,2020,Street mural,Contemporary (1970s–present),George Floyd murder; BLM movement,38th and Chicago Ave Minneapolis,George Floyd portrait; flowers; 'I Can't Breathe',Multiple,Multiple (Black and allied artists),5/5,Murder of George Floyd (2020); BLM global protests,"Mourning; public space; community memorial; protest","The mural at the site of Floyd's murder became a global pilgrimage site; its imagery was reproduced on every continent; demonstrates how street art became the primary visual language of contemporary political protest","Public record","Site became known as George Floyd Square; the mural has been repainted and maintained by the community"
46,The Dinner Party,Judy Chicago,1974-1979,Mixed media ceramic/textile installation,Contemporary (1970s–present),Second-wave feminism; women's history,Brooklyn Museum,"Triangular table; 39 place settings for historical women; 999 names on floor",Female,White (Jewish-American),5/5,Second-wave feminism; women's history movement,"Women's history; craft as fine art; feminist canon-making; sexual iconography","The most politically programmatic major artwork of second-wave feminism; forced art institutions to grapple with what 'women's history' means and who gets commemorated; rejected by multiple museums before Brooklyn","Brooklyn Museum catalog","The explicit vulvar imagery on place settings caused significant controversy; several universities refused to house it"
47,Your Body Is a Battleground,Barbara Kruger,1989,Photographic silkscreen,Contemporary (1970s–present),Abortion rights; Roe v. Wade context,Broad Museum,Split positive/negative female face; text overlay,Female,White,5/5,1989 reproductive rights march on Washington; Roe v. Wade,"Reproductive rights; female body as political site; advertising aesthetics","Created specifically for the April 1989 march in Washington for reproductive rights; its advertising aesthetic made it reproducible across protest contexts; text treats the female body as contested political territory","Broad Museum catalog",""
48,Chicano Park Murals (San Diego),Various Chicano artists,1970-ongoing,Exterior murals on freeway pylons,Contemporary (1970s–present),Chicano movement; community displacement,Chicano Park San Diego CA,"Aztec imagery; labor history; Cesar Chavez; Brown Berets; community history",Multiple,Chicano/Latino,4/5,Chicano movement (1969–1970s); community organizing against urban renewal,"Chicano identity; labor rights; Indigenous heritage; community resistance","Created after activists occupied land slated for a highway patrol parking lot; the murals transformed freeway infrastructure into the most important outdoor Chicano art site in the US","City of San Diego / Chicano Park Steering Committee records","National Historic Landmark since 2016; still being painted"
49,Migrant farmworker photographs (Cesar Chavez / UFW),various (including Jon Lewis),1960s-1970s,Press and documentary photographs,Contemporary (1970s–present),United Farm Workers; labor rights; Chicano movement,Walter P. Reuther Library / various,Farmworkers; picket lines; Cesar Chavez; grape boycott,Multiple,Multiple (Chicano and allied),4/5,United Farm Workers strikes (1965–1970); grape and lettuce boycotts,"Labor rights; immigration; dignity; nonviolent protest","The visual documentation of UFW campaigns — picket lines, the black eagle flag, hunger strikes — built national support for the boycott; photographs put faces on the hidden labor of food production","Walter P. Reuther Library",""
50,Piss Christ,Andres Serrano,1987,Cibachrome photograph,Contemporary (1970s–present),Culture wars; First Amendment; NEA funding debate,Various collections,Crucifix submerged in artist's urine; amber glow,Male,Black/Afro-Latino (Cuban-American),4/5,NEA culture wars (1989–1990); First Amendment debate,"Religious freedom; government arts funding; censorship; sacred vs. profane","Senator Jesse Helms used the work to argue against NEA funding; it became the flashpoint of the 1980s–90s culture wars over government arts funding and free expression; the work itself barely changed — the political controversy is the history","Various collections","The photograph was physically attacked in France in 2011 by Christian fundamentalists"
51,The Two Undiscovered Amerindians,Coco Fusco and Guillermo Gómez-Peña,1992,Performance/photography,Contemporary (1970s–present),Columbus quincentenary; Indigenous rights; colonial gaze,Various documentation,"Two artists in cage, presented as 'undiscovered' Indigenous people from a fictional island",Female / Male,Latina / Latino (Cuban / Mexican-American),5/5,Columbus quincentenary (1992); Indigenous rights discourse,"Colonial gaze; museum complicity; performative critique; Indigenous dehumanization","Performed in museums worldwide; many audience members believed the performers were real; the performance exposed audiences' willingness to accept the dehumanizing display of non-white bodies as natural","Various documentation","The discomfort of audiences who didn't realize it was performance is itself the political data"
52,We Are All Suspects (post-9/11 visual culture),Various artists / designers,2001-2003,Posters; street art; digital,Contemporary (1970s–present),Post-9/11 surveillance; Patriot Act; racial profiling,Various,"Surveillance cameras; Muslim figures; airport security imagery",Multiple,Multiple,4/5,September 11 attacks (2001); Patriot Act; War on Terror,"Civil liberties; Islamophobia; surveillance state; racial profiling","Post-9/11 visual culture — posters, murals, street art, protest graphics — documented and contested the rapid expansion of surveillance and the targeting of Muslim Americans","Various archives","Umbrella entry for post-9/11 political visual culture"
53,Homeland Security Blanket,Nicholas Galanin,2019,Woven blanket,Contemporary (1970s–present),Indigenous rights; border security; settler colonialism,Various,Thermal emergency blanket design woven in Tlingit style with 'HOMELAND SECURITY' text,Male,Tlingit / Unangan (Indigenous),5/5,US immigration detention; Indigenous sovereignty; border politics,"Settler colonialism; immigration; Indigenous land; historical irony","Galanin weaves the mylar emergency blankets used to wrap detained migrants (including Indigenous migrants) in traditional Tlingit weaving patterns; the phrase 'Homeland Security' applied to Indigenous art inverts its entire meaning","Various collections","One of the most conceptually precise political artworks of the contemporary period"
54,Ghost Army visual deception program,Ghost Army soldiers / artists,1944,Inflatable tanks; sound deception; visual camouflage,20th Century,WWII military strategy; art in service of war,National Archives / Ghost Army Legacy Project,"Inflatable Sherman tanks; fake unit insignia; deceptive radio traffic",Male,White (mostly),4/5,WWII European theater; Operation Fortitude,"Art and war; deception; visual illusion; classified history","The Ghost Army was largely composed of artists, designers, and creative professionals who used visual deception to fool the German army; classified for 40+ years; extraordinary story of artists as military strategists","National Archives / Ghost Army Legacy Project","Congress awarded the Ghost Army the Congressional Gold Medal in 2022"
55,The Trail of Tears (painting series),Robert Lindneux,1942,Oil on canvas,20th Century,Indian Removal retrospective,Woolaroc Museum Oklahoma,Thousands of Cherokee marching; soldiers; winter,Male,White,3/5,Indian Removal Act (1830); Trail of Tears,"Indigenous displacement; genocide; forced march","Painted a century after the event; became the standard visual reference for the Trail of Tears in textbooks; its retrospective nature raises questions of who gets to visualize others' trauma","Woolaroc Museum catalog","The most widely reproduced Trail of Tears image despite being painted 112 years after the event by a white artist"
56,Totem poles and Indigenous visual sovereignty (documentation),Various Indigenous artists; documented by Edward Curtis and others,1900s-present,Carved cedar; documentary photography,Colonial & Revolutionary (context),Indigenous cultural survival; cultural erasure; sovereignty,Various (Smithsonian; Northwest Coast communities),Totem poles; ceremonial objects; community gatherings,Multiple,Multiple Indigenous nations,4/5,Potlatch Ban (1885–1951 Canada); American Indian Religious Freedom Act (1978),"Cultural survival; sovereignty; artistic resistance to assimilation","The banning of potlatches and ceremonial art was a direct political act; the survival and revival of Northwest Coast art is a political story of resistance; Curtis's documentary photography simultaneously preserved and aestheticized Indigenous culture","Smithsonian / various community archives","The Potlatch Ban is a Canadian policy but its logic directly informed US Indian boarding school cultural suppression"
57,The Black Panther newspaper illustrations,Emory Douglas,1967-1980,Offset lithograph illustrations,Contemporary (1970s–present),Black Power; Black Panther Party,Michigan State University archive / various,"Armed Black figures; pigs as police; community food programs; revolutionary imagery",Male,Black/African American,5/5,Black Panther Party (1966–1982); Black Power movement,"Black Power; revolutionary iconography; community organizing; press as weapon","Douglas served as Minister of Culture for the Black Panthers; his illustrations in the Party newspaper reached hundreds of thousands weekly; he invented the visual language of Black Power","Michigan State University / various","The newspaper had a circulation of ~100,000 at its peak; Douglas influenced generations of political graphic artists globally"
58,Chicano moratorium photographs,Oscar Castillo / various,1970,Press photographs,Contemporary (1970s–present),Vietnam War; Chicano antiwar movement; police violence,Los Angeles Times / various archives,Chicano antiwar demonstrators; police tear gas; Ruben Salazar,Male,Multiple (Chicano photographers),4/5,Chicano Moratorium (August 29 1970); Ruben Salazar killing,"Vietnam War opposition; Chicano rights; police violence; press freedom","The largest Chicano demonstration in US history; reporter Ruben Salazar was killed by sheriff's deputies; photographs documented both the movement and the state violence that ended it","LA Times archive","Salazar was a prominent journalist; his killing by police during the demonstration shaped Chicano political consciousness"
59,Raising the Flag on Iwo Jima,Joe Rosenthal,1945,Press photograph,20th Century,WWII; national morale,AP Archive / National Archives,Six Marines raising flag on Mount Suribachi,Male,White (Rosenthal); Multiple (Marines),5/5,Battle of Iwo Jima (1945); WWII Pacific theater,"National heroism; sacrifice; collective effort; war morale","Won the Pulitzer Prize the same year it was taken (the only photo to do so); used immediately for the 7th War Loan Drive; became the basis for the Marine Corps War Memorial; one of the most reproduced photographs in history","AP Archive","Three of the six flag-raisers died in subsequent Iwo Jima fighting; one Marine was misidentified for decades"
60,Dorothea Lange's Japanese internment photographs (confiscated series),Dorothea Lange,1942,Gelatin silver photographs,20th Century,Japanese American internment; government suppression of evidence,National Archives,Families lined up for forced removal; Manzanar life; watch towers,Female,White,5/5,Executive Order 9066 (1942); Japanese American incarceration,"Civil liberties; racial targeting; state suppression of truth; documentary ethics","The Army confiscated Lange's photographs because they were too sympathetic to the internees; they were released after the war and became key evidence in the redress movement and eventual government apology","National Archives","Separate entry from Item 22 focusing on the censorship/suppression dimension"
61,With Liberty and Justice for All (suffrage and 19th Amendment visual culture),Various illustrators,1848-1920,Political cartoons; posters; broadsides,20th Century,Women's suffrage movement,Library of Congress / various,Women at polling places; anti-suffrage cartoons; suffrage parades,Multiple,White (predominantly),4/5,19th Amendment (1920); Women's suffrage,"Women's rights; voting; gender and citizenship; visual debate","The visual culture of the suffrage movement — banners, posters, political cartoons both for and against — constitutes a 70-year argument about democracy conducted through images","Library of Congress catalog","Complementary to Jasmitha's women's suffrage dataset; focuses on visual artifacts"
62,Anti-Vietnam War protest posters (Peace movement visual culture),Various designers including Corita Kent,1965-1975,Silkscreen posters; offset lithographs,20th Century,Vietnam War; antiwar movement,Various (Smithsonian; MOMA; private),Doves; napalm imagery; body counts; draft cards,Multiple,Multiple,4/5,Vietnam War antiwar movement; Kent State (1970),"Antiwar activism; peace; draft resistance; visual counterculture","The antiwar movement produced some of the most innovative political graphic design in American history; Corita Kent's use of commercial aesthetics for antiwar messages anticipated later political art strategies","Smithsonian / MoMA catalog","Corita Kent (Sister Corita) was a Catholic nun and art teacher whose work reached millions"
63,Kent State photograph (May 4 1970),John Filo,1970,Press photograph,20th Century,Vietnam War; Kent State massacre; student protest,AP Archive / Valley Daily News,Mary Ann Vecchio kneeling over Jeffrey Miller's body; anguish,Male,White,5/5,Kent State massacre (May 4 1970); Cambodia invasion protests,"Student protest; state violence; antiwar movement; grief","Won the Pulitzer Prize; appeared on front pages worldwide the next day; gave Crosby Stills Nash & Young their song 'Ohio'; directly increased antiwar protests nationally","AP Archive / Valley Daily News","Vecchio was a 14-year-old runaway; she was later hounded and harassed in her home state of Florida"
64,The 1619 Project cover art,Nikole Hannah-Jones / NYT Magazine design,2019,Magazine cover photography/design,Contemporary (1970s–present),American founding mythology; slavery's centrality,New York Times Magazine,Slave ship detail on cover; 1619 masthead,Multiple,Multiple,4/5,1619 Project publication (2019); debates over slavery in American founding,"Historical memory; slavery; American founding; curriculum politics","The visual presentation of the 1619 Project — cover art, photo essays, layout — made a historiographical argument about America's true founding date; triggered national curriculum debates and a Pulitzer Prize","New York Times Magazine","The project's visual choices were as deliberate as its text; the cover image (a detail of a slave ship) made a political argument before the reader opened the magazine"
65,March on Washington photographs (1963),various (Bob Adelman; Charles Moore; Flip Schulke),1963,Press photographs,20th Century,Civil Rights Movement; March on Washington,Library of Congress / various,"Crowd of 250,000; Lincoln Memorial; MLK at podium; integrated masses",Male,Multiple (Black and white photographers),5/5,March on Washington for Jobs and Freedom (August 28 1963),"Civil rights; mass protest; integration; the Mall as political space","The photographs of the March established the National Mall as the stage for American democratic protest; the scale of the crowd — photographed from the Washington Monument — became proof of movement strength","Library of Congress","The integration visible in the crowd was itself a political statement; photographers documented both the speakers and the sea of people"
66,Ferguson protest murals and protest art,Various community and professional artists,2014-2015,Street murals; protest signs; social media,Contemporary (1970s–present),Ferguson uprising; Black Lives Matter founding,Ferguson MO / national,Michael Brown; hands up don't shoot; community grief and rage,Multiple,Black/African American (predominantly),5/5,Murder of Michael Brown (2014); Ferguson uprising; BLM founding,"Police violence; Black Lives Matter; community art; protest as memorial","The 'Hands Up Don't Shoot' gesture became a visual language before it became a slogan; Ferguson protest art founded the visual vocabulary of the BLM movement","Various community archives","The gesture spread globally; its visual simplicity made it infinitely reproducible"
67,Black Lives Matter street mural (Washington DC),Various artists commissioned by DC Mayor Muriel Bowser,2020,Street painting,Contemporary (1970s–present),George Floyd protests; BLM; government response to protest,16th Street NW Washington DC,Giant yellow 'BLACK LIVES MATTER' letters on street leading to White House,Multiple,Multiple,4/5,George Floyd protests (2020); BLM movement,"Public space; political statement; government co-optation; visual power","DC Mayor had the mural painted on the street leading to the White House; BLM organizers added 'Defund the Police' nearby; the tension between official and activist versions of the same space is itself a political argument","Washington DC public records","The mural was later extended and made permanent; contested as co-optation vs. endorsement by different BLM factions"
68,Equal Justice Initiative lynching memorial (documentation),Bryan Stevenson / MASS Design Group,2018,Steel monuments; architectural space,Contemporary (1970s–present),Racial terror; lynching history; restorative justice,National Memorial for Peace and Justice Montgomery AL,Steel monuments for each county where lynchings occurred; hanging steel; names engraved,Multiple,Multiple (EJI team),5/5,History of racial terror lynching in America; contemporary racial justice,"Memory; racial terror; public accounting; memorial design","The National Memorial is the first major American memorial to victims of racial terror lynching; its design — steel monuments that evoke hanging bodies — was a political and architectural choice that refuses comfort","EJI records","The EJI left duplicate monuments for counties to claim and install locally; most counties have not claimed them — itself a political fact"
69,We Shall Overcome (visual documentation of the song and its use),Various documentary photographers,1963-1965,Documentary photographs,20th Century,Civil Rights Movement; interracial solidarity,Library of Congress / various,Demonstrators linking arms and singing; marches; funerals,Multiple,Multiple,4/5,Civil Rights Movement broadly; Selma; Birmingham,"Song as visual-political symbol; solidarity; nonviolent protest","The image of hands linked while singing 'We Shall Overcome' became a universal visual symbol of nonviolent resistance; photographs of it at marches, funerals, and confrontations constituted a visual theology of the movement","Library of Congress catalog","The song itself has a complex history from gospel to labor movement to civil rights"
70,The Farm Security Administration photo archive (as a whole),Dorothea Lange; Walker Evans; Gordon Parks; others,1935-1942,Gelatin silver photographs (large archive),20th Century,New Deal; Great Depression documentation; poverty politics,Library of Congress,Rural poverty; sharecroppers; Dust Bowl; migrant camps; Black poverty,Multiple,Multiple (white and Black photographers),5/5,New Deal (1933–1938); Great Depression politics,"Government photography as political instrument; poverty visibility; documentary ethics","The FSA archive was created to build political support for New Deal programs; it is simultaneously the greatest documentary photography project in American history and an example of government-directed image production","Library of Congress catalog","Gordon Parks joined the FSA and created foundational images of Black American life; his work expands the archive beyond its initial white rural focus"
71,American Progress,John Gast,1872,Oil on canvas,Civil War & Reconstruction (era),Manifest Destiny; westward expansion ideology,Autry Museum Los Angeles,Angelic Columbia figure floating west; telegraph wire; settlers following; Native peoples and animals fleeing before her,Male,White (German-American),5/5,Manifest Destiny ideology; westward expansion; Indian Removal,"Manifest Destiny; settler colonialism; racial hierarchy; progress ideology","Widely reproduced as chromolithograph; became the defining visual statement of Manifest Destiny ideology; the fleeing Native Americans and animals in the 'darkness' of the west made white supremacist expansion look divinely ordained","Autry Museum catalog","Commissioned by George Crofutt for his travel guide; instantly mass-reproduced; shaped how millions of Americans understood westward expansion"
72,Bury My Heart at Wounded Knee (documentary photographs of 1890 massacre aftermath),US Army photographers,1891,Photographs,Civil War & Reconstruction,Wounded Knee Massacre; Indian Wars,National Archives,Mass grave; frozen Lakota bodies; Big Foot among the dead,Male,White (US Army),5/5,Wounded Knee Massacre (December 29 1890),"Indigenous genocide; US military violence; end of Indian Wars","The Army's own photographs of the mass grave became evidence of the massacre; they were suppressed for decades but when published in the 1970s they fueled AIM and the American Indian Movement's political arguments","National Archives","Some soldiers received the Medal of Honor for Wounded Knee; a campaign to rescind these medals has been ongoing"
73,The Jungle (visual adaptations and illustrations),Various illustrators for Upton Sinclair's novel,1906,Book illustrations; political cartoons,20th Century,Progressive Era; meatpacking industry; labor and immigration,Library of Congress / various,Meatpacking workers; contaminated food; immigrant labor,Multiple,Multiple,4/5,Pure Food and Drug Act (1906); meatpacking regulation; Progressive Era,"Labor exploitation; immigration; food safety; corporate power","Sinclair wrote The Jungle to expose the exploitation of immigrant workers; readers responded to the food contamination descriptions instead; visual adaptations amplified both messages; the book directly led to the Pure Food and Drug Act","Library of Congress / various","Sinclair said: 'I aimed at the public's heart and by accident hit it in the stomach'"
74,Fallen Astronauts memorial and Space Race visual culture,Various (NASA; Life Magazine),1969-1972,Press photographs; NASA imagery,20th Century,Space Race; Cold War; NASA program,NASA archives / Life Magazine,"Buzz Aldrin on the moon; earthrise photograph; Apollo 1 memorial",Multiple,White (predominantly; early astronauts),4/5,Apollo 11 moon landing (1969); Apollo 1 fire (1967); Cold War,"American achievement; Cold War competition; technological nationalism; sacrifice","The Earthrise photograph (William Anders 1968) and the moon landing images became the most politically potent symbols of American Cold War supremacy; they also produced a new vision of Earth as fragile and unified","NASA archives","Earthrise is sometimes credited with inspiring the first Earth Day (1970) and the environmental movement"
75,Untitled (Perfect Lovers),Felix Gonzalez-Torres,1987-1990,Two synchronized clocks,Contemporary (1970s–present),AIDS crisis; LGBTQ+ love and loss; Reagan-era neglect,Various (MoMA and others),Two identical round clocks side by side; synchronized; slowly falling out of sync,Male,White Cuban (gay; died of AIDS),5/5,AIDS crisis; LGBTQ+ rights; Reagan administration's silence,"Love; loss; time; political neglect; grief","Made as Gonzalez-Torres's partner Ross died of AIDS; the clocks slowly fall out of sync as their batteries die at different rates; the piece is simultaneously a love poem and an indictment of the government that let Ross die; Gonzalez-Torres himself died of AIDS in 1996","MoMA catalog","One of the most politically devastating artworks of the late 20th century in its restraint; the politics are entirely in what the viewer knows about its context"
